id,@id,addr:city,admin_level,alt_name,border_type,boundary,city,designation,district,is_in:city,kaynak,name,name:en,name:ku,name:ru,network,note,old_name,place,population,population:date,source,type,wall:material,@relations,wikidata,wikimedia_commons,wikipedia
relation/1809463,relation/1809463,,"8",,,administrative,,,,,,Subaşı Mahallesi,,,,TR06-Gölbaşı-köyleri,,,,,,,boundary,,,Q7630852,,
relation/1809666,relation/1809666,,"8",,,administrative,,,,,,Akçaali Mahallesi,,,,TR06-Elmadağ-köyleri,,,,,,,boundary,,,Q4702056,,
relation/1809667,relation/1809667,,"8",,,administrative,,,,,,Akkoyunlu Mahallesi,,,,TR06-Bala-köyleri,,"Büyükdavdanlı;Büyük Davdanlı",,,,,boundary,,,Q5003402,,"tr:Akkoyunlu, Bala"
relation/1809668,relation/1809668,,"8",,,administrative,,,,,,Davdanlı Mahallesi,,Davdana,,TR06-Bala-köyleri,,,,,,,boundary,,,Q5228185,,"tr:Davdanlı, Bala"
relation/1809670,relation/1809670,,"8",,,administrative,,,,,,Kayadibi Mahallesi,,,,TR06-Elmadağ-köyleri,,,,,,,boundary,,,Q6380385,,
relation/1809671,relation/1809671,,"8",,,administrative,,,,,,Süleymanlı Mahallesi,,,,TR06-Elmadağ-köyleri,,,,,,,boundary,,,Q7666733,,
relation/1809672,relation/1809672,,"8",,,administrative,,,,,,Tekke Mahallesi,,,,TR06-Elmadağ-köyleri,,,,,,,boundary,,,Q7695381,,
relation/1810971,relation/1810971,,"8",,,administrative,,,,,,Gökler,,,,TR06-Ayaş-köyleri,,,,,,,boundary,,,Q5626496,,
relation/3113766,relation/3113766,,"8",,,administrative,,,,,,Aydıncık Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q6076131,,
relation/3113767,relation/3113767,,"8",,,administrative,,,,,,Baraj Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q25473417,,
relation/3113768,relation/3113768,,"8",,,administrative,,,,,,Beşikkaya Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q25473423,,
relation/3113769,relation/3113769,,"8",,,administrative,,,,,,Feridun Çelik Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q25473441,,
relation/3113770,relation/3113770,,"8",,,administrative,,,,,,Gicik Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q25473466,,
relation/3113771,relation/3113771,,"8",,,administrative,,,,,,Karacaören Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q6074045,,
relation/3113772,relation/3113772,,"8",,,administrative,,,,,,Karapürçek Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q25473485,,
relation/3113773,relation/3113773,,"8",,,administrative,,,,,,Kavaklı Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q6076482,,
relation/3113774,relation/3113774,,"8",,,administrative,,,,,,Peçenek Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q6099361,,
relation/3113775,relation/3113775,,"8",,,administrative,,,,,,Tatlar Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q6098921,,
relation/3114196,relation/3114196,,"8",,,administrative,,,,,,Hacettepe Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q25473482,,
relation/3114197,relation/3114197,,"8",,,administrative,,,,,,Hacı Bayram Mahallesi,,,,TR06-Altındağ-suburbs,,,,,,,boundary,,,Q19611385,,
